ONR,C,SM,T,PU,SQ,CS,Csat,CL,PI,LOYALTY
6,8,8,7,9,8,7,8,8,7,6.636
6,8,6,7,8,8,7,8,8,7,6.04
6,6,6,6,8,9,8,6,8,9,5.81
6,8,6,7,8,8,7,8,8,7,6.038
6,6,6,6,6,6,6,6,8,8,5.543
8,8,8,8,9,9,9,8,8,8,7.444
6,8,6,7,8,8,7,8,8,8,6.044
6,8,6,7,8,8,7,8,6,6,6.006
6,7,6,6,8,8,7,7,9,9,5.891
6,8,6,7,7,9,6,8,8,8,6.028
6,6,7,7,7,8,8,6,8,8,6.022
6,8,6,7,7,7,9,8,8,8,5.936
7,7,7,7,8,8,8,7,10,10,6.585
8,6,7,8,8,7,7,6,6,8,6.767
8,6,7,7,8,8,8,6,8,7,6.779
6,6,8,8,9,8,8,6,8,8,6.471
8,6,7,7,8,9,8,6,8,7,6.824
8,8,7,7,8,6,7,8,7,8,6.907
7,7,7,7,9,6,9,7,7,8,6.505
7,7,7,8,6,7,8,7,8,9,6.438
6,6,6,8,8,8,8,6,8,6,5.862
6,6,8,7,7,8,6,6,8,6,6.279
8,6,6,7,7,8,9,6,8,7,6.449
7,6,7,8,7,6,8,6,8,8,6.336
8,7,7,6,8,8,8,7,8,8,6.841
7,7,7,7,8,8,8,7,8,8,6.549
7,6,7,6,9,9,9,6,8,6,6.476
7,7,6,7,8,6,8,7,8,8,6.188
6,7,6,6,8,7,7,7,8,8,5.828
7,7,7,7,8,8,8,7,8,9,6.553
8,8,8,8,7,8,8,8,8,6,7.263
7,7,7,7,8,8,8,7,8,7,6.544
7,7,6,6,7,8,9,7,8,8,6.162
7,7,7,7,7,9,9,7,8,8,6.531
7,7,7,7,8,8,8,7,8,8,6.55
7,8,6,7,8,10,10,8,8,8,6.487
6,6,8,6,7,7,8,6,8,9,6.19
7,7,7,7,8,8,8,7,8,8,6.548
7,7,7,8,9,8,8,7,8,10,6.677
8,8,8,6,8,7,7,8,7,7,7.156
6,6,8,6,8,7,7,6,8,8,6.248
7,7,7,7,8,7,8,7,8,8,6.502
7,7,7,7,8,8,8,7,8,7,6.541
7,7,7,6,8,10,6,7,8,7,6.579
7,6,7,7,8,7,9,6,8,7,6.384
7,7,7,6,7,6,9,7,9,8,6.35
8,8,8,8,9,7,8,8,6,10,7.335
8,7,7,7,7,8,8,7,9,7,6.844
7,7,7,7,8,8,8,7,8,6,6.538
6,7,6,7,8,8,8,7,8,7,5.926
7,7,7,7,8,8,8,7,9,8,6.56
6,6,6,6,6,6,6,6,8,7,5.538
8,8,8,8,9,9,9,8,8,8,7.445
7,7,7,7,8,8,8,7,8,8,6.548
7,7,7,7,8,8,8,7,8,8,6.548
7,6,8,7,7,7,8,6,6,6,6.552
7,7,7,6,10,9,6,7,9,9,6.682
9,8,8,6,9,6,8,8,8,8,7.545
6,10,9,6,7,7,10,10,8,8,6.908
7,9,7,8,8,7,8,9,9,7,6.796
8,7,7,9,7,7,8,7,10,9,6.936
8,8,8,9,8,8,8,8,6,9,7.369
8,6,8,8,7,6,7,6,8,7,6.947
8,8,7,8,7,8,7,8,8,8,7.005
9,7,8,9,8,7,7,7,8,8,7.582
8,7,9,9,9,7,7,7,8,9,7.568
10,8,7,6,8,6,8,8,7,8,7.549
7,7,7,6,8,6,8,7,8,9,6.403
8,8,8,7,7,6,7,8,8,7,7.119
8,8,8,9,8,7,8,8,8,6,7.336
7,6,7,9,9,7,7,6,8,7,6.56
7,9,8,8,8,7,8,9,8,8,7.054
7,8,6,8,8,7,8,8,8,6,6.397
8,8,8,9,9,7,9,8,8,9,7.413
10,8,8,7,8,6,6,8,8,7,7.883
7,9,8,6,6,7,9,9,8,8,6.814
6,8,6,8,8,7,8,8,8,8,6.056
7,7,6,9,8,8,8,7,8,8,6.395
8,8,8,8,8,7,8,8,8,6,7.28
8,8,8,9,8,7,8,8,8,8,7.348
8,8,8,9,9,7,9,8,8,8,7.41
8,10,6,8,8,6,8,10,8,8,6.939
6,9,9,6,9,6,9,9,8,8,6.874
9,8,8,9,6,8,8,8,8,9,7.622
8,7,6,8,8,7,8,7,8,9,6.647
8,8,8,10,9,6,8,8,8,8,7.419
7,8,8,9,8,8,6,8,8,10,7.052
9,8,7,8,8,7,7,8,8,7,7.368
7,10,9,8,9,6,8,10,8,8,7.452
8,8,7,8,8,7,8,8,8,8,7.022
8,7,8,10,9,7,7,7,8,9,7.358
7,8,8,8,8,6,8,8,8,7,6.888
8,9,9,10,7,7,7,9,8,8,7.721
7,9,6,9,9,7,7,9,8,8,6.64
7,9,9,8,8,6,8,9,8,8,7.275
8,7,7,8,8,7,8,7,8,8,6.909
8,8,8,7,7,8,8,8,8,7,7.211
8,8,8,8,8,7,8,8,8,7,7.283
8,8,8,6,6,6,6,8,8,9,7.01
6,8,8,10,10,8,9,8,8,7,6.871
9,6,6,8,8,7,8,6,8,8,6.878
8,9,10,8,8,7,8,9,8,8,7.938
8,8,8,7,8,7,8,8,8,8,7.232
8,8,8,10,10,8,7,8,6,6,7.537
8,8,7,8,8,8,7,8,9,9,7.09
8,9,8,8,10,10,10,9,8,8,7.666
7,8,7,9,6,10,6,8,8,8,6.742
7,9,8,10,8,7,8,9,8,7,7.161
8,8,7,8,6,8,6,8,8,8,6.943
7,8,7,8,6,8,8,8,9,9,6.612
8,9,8,9,6,7,8,9,7,9,7.324
8,8,7,8,6,7,6,8,8,8,6.895
8,9,8,8,6,8,6,9,8,8,7.323
7,7,7,7,7,8,7,7,9,8,6.497
7,6,9,7,7,9,6,6,8,8,6.949
8,7,8,8,6,8,6,7,9,8,7.109
8,8,7,8,6,8,7,8,7,7,6.922
7,6,8,8,6,7,6,6,6,7,6.551
9,8,8,8,6,8,6,8,7,7,7.539
8,7,7,8,6,9,6,7,8,8,6.873
8,8,7,8,8,8,6,8,6,8,7.039
8,8,7,8,6,8,6,8,9,8,6.955
8,9,9,7,7,8,6,9,7,8,7.581
6,8,8,6,6,8,6,8,8,8,6.394
10,7,9,10,6,6,6,7,8,8,8.083
8,8,7,8,6,8,6,8,8,9,6.948
8,8,8,8,8,8,8,8,6,7,7.301
8,8,7,8,6,8,6,8,8,7,6.936
8,8,9,9,7,8,6,8,8,8,7.596
9,9,9,9,7,9,7,9,8,8,8.105
8,8,7,8,6,8,6,8,8,8,6.943
9,7,7,7,7,9,8,7,9,8,7.243
7,7,9,9,8,7,6,7,9,9,7.167
8,8,7,8,6,8,6,8,8,8,6.941
8,8,8,8,7,10,6,8,10,7,7.388
7,7,7,8,7,7,8,7,7,9,6.487
8,7,7,8,6,9,8,7,8,8,6.873
8,8,9,8,6,8,6,8,8,8,7.475
8,8,7,8,6,8,6,8,9,8,6.956
6,7,6,7,7,9,7,7,7,7,5.893
8,8,9,8,6,9,6,8,8,7,7.517
7,9,9,7,7,8,7,9,8,8,7.246
7,7,8,7,7,9,7,7,8,10,6.808
9,8,7,8,6,8,8,8,8,7,7.286
8,8,7,8,6,8,6,8,7,7,6.922
8,9,8,9,6,6,6,9,7,7,7.268
8,8,7,8,6,8,6,8,9,8,6.955
6,6,6,6,6,6,6,6,7,7,5.523
9,9,9,9,8,8,8,9,8,8,8.122
8,8,7,8,6,8,6,8,8,8,6.941
8,8,7,8,6,8,6,8,8,8,6.941
8,8,7,9,6,7,6,8,6,6,6.914
7,9,6,8,6,8,6,9,9,9,6.458
7,8,8,9,6,6,7,8,8,8,6.823
7,7,9,7,6,8,6,7,8,8,6.957
7,7,7,8,9,8,9,7,7,7,6.65
7,7,6,8,7,8,9,7,8,9,6.28
6,8,7,8,8,9,8,8,8,8,6.416
7,8,7,7,8,9,9,8,8,7,6.703
6,9,8,8,9,8,8,9,8,7,6.808
8,8,6,8,8,9,8,8,6,8,6.818
7,6,6,7,6,8,6,6,8,8,6.041
7,9,6,8,9,8,8,9,8,7,6.622
6,8,6,7,8,6,6,8,9,8,5.967
7,8,8,7,8,8,8,8,6,9,6.906
7,9,6,8,8,6,8,9,7,7,6.455
7,8,6,8,9,8,8,8,8,8,6.508
